IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
247,B/001-001081,2018-01-20 00:00:00,8,6.7199999999999998,1.28,2,7
248,B/001-001082,2018-01-21 00:00:00,21,17.649999999999999,3.3500000000000001,3,7
249,B/001-001083,2018-01-21 00:00:00,13,10.92,2.0699999999999998,3,6
250,B/001-001084,2018-01-21 00:00:00,13,10.92,2.0699999999999998,3,6
251,B/001-001085,2018-01-21 00:00:00,40,33.609999999999999,6.3899999999999997,3,6
252,B/001-001086,2018-01-21 00:00:00,7,5.8799999999999999,1.1200000000000001,3,5
253,B/001-001087,2018-01-21 00:00:00,28.5,23.949999999999999,4.5499999999999998,3,5
254,B/001-001088,2018-01-21 00:00:00,12,10.08,1.9199999999999999,3,5
255,B/001-001089,2018-01-21 00:00:00,9,7.5599999999999996,1.4399999999999999,3,5
256,B/001-001090,2018-01-21 00:00:00,11,9.2400000000000002,1.76,3,4
257,B/001-001091,2018-01-21 00:00:00,6,5.04,0.95999999999999996,3,5
258,B/001-001092,2018-01-21 00:00:00,6,5.04,0.95999999999999996,3,4
259,B/001-001093,2018-01-21 00:00:00,13,10.92,2.0699999999999998,3,5
260,B/001-001094,2018-01-21 00:00:00,8,6.7199999999999998,1.28,3,4
261,B/001-001095,2018-01-21 00:00:00,37.5,31.510000000000002,5.9900000000000002,3,5
262,B/001-001096,2018-01-22 00:00:00,18,15.130000000000001,2.8700000000000001,2,4
263,B/001-001097,2018-01-22 00:00:00,6,5.04,0.95999999999999996,2,5
264,B/001-001098,2018-01-22 00:00:00,6,5.04,0.95999999999999996,2,5
265,B/001-001099,2018-01-22 00:00:00,9,7.5599999999999996,1.4399999999999999,2,6
266,B/001-001100,2018-01-22 00:00:00,210,176.47,33.530000000000001,2,7
267,B/001-001101,2018-01-22 00:00:00,5,4.2000000000000002,0.80000000000000004,2,7
268,B/001-001102,2018-01-22 00:00:00,25,21.010000000000002,3.9900000000000002,2,8
269,B/001-001103,2018-01-22 00:00:00,6,5.04,0.95999999999999996,2,9
270,B/001-001104,2018-01-22 00:00:00,6,5.04,0.95999999999999996,2,8
271,B/001-001105,2018-01-22 00:00:00,21,17.649999999999999,3.3500000000000001,2,7
272,B/001-001106,2018-01-22 00:00:00,50,42.020000000000003,7.9800000000000004,2,7
273,B/001-001107,2018-01-22 00:00:00,37.799999999999997,31.760000000000002,6.0300000000000002,2,6
274,B/001-001108,2018-01-22 00:00:00,15,12.609999999999999,2.3999999999999999,2,6
275,B/001-001109,2018-01-22 00:00:00,15,12.609999999999999,2.3999999999999999,2,5
276,B/001-001110,2018-01-22 00:00:00,12,10.08,1.9199999999999999,2,5
277,B/001-001111,2018-01-22 00:00:00,21.5,18.07,3.4300000000000002,2,6
278,B/001-001112,2018-01-22 00:00:00,13,10.92,2.0699999999999998,2,5
279,B/001-001113,2018-01-22 00:00:00,20,16.809999999999999,3.1899999999999999,2,3
280,B/001-001114,2018-01-22 00:00:00,7,5.8799999999999999,1.1200000000000001,2,4
281,B/001-001115,2018-01-22 00:00:00,12,10.08,1.9199999999999999,2,5
282,B/001-001116,2018-01-22 00:00:00,25,21.010000000000002,3.9900000000000002,2,4
283,B/001-001117,2018-01-22 00:00:00,16,13.449999999999999,2.5600000000000001,2,4
284,B/001-001118,2018-01-22 00:00:00,30,25.210000000000001,4.79,2,5
285,B/001-001119,2018-01-22 00:00:00,8,6.7199999999999998,1.28,2,2
286,B/001-001120,2018-01-22 00:00:00,29,24.370000000000001,4.6299999999999999,2,3
287,B/001-001121,2018-01-22 00:00:00,20,16.809999999999999,3.1899999999999999,2,4
288,B/001-001122,2018-01-22 00:00:00,55,46.219999999999999,8.7799999999999994,2,3
289,B/001-001123,2018-01-22 00:00:00,65,54.619999999999997,10.380000000000001,2,4
290,B/001-001124,2018-01-22 00:00:00,18.5,15.550000000000001,2.9500000000000002,2,4
291,B/001-001125,2018-01-22 00:00:00,18,15.130000000000001,2.8700000000000001,2,5
